id,activity,category,amount
sale_note_activity001,COMERCIO,Categoria 1,150
sale_note_activity002,COMERCIO,Categoria 2,150
sale_note_activity003,COMERCIO,Categoria 3,200
sale_note_activity004,COMERCIO,Categoria 4,200
sale_note_activity005,COMERCIO,Categoria 5,200
sale_note_activity006,COMERCIO,Categoria 6,300
sale_note_activity007,COMERCIO,Categoria 7,300
sale_note_activity008,HOTELES Y RESTAURANTES,Categoria 1,150
sale_note_activity009,HOTELES Y RESTAURANTES,Categoria 2,150
sale_note_activity010,HOTELES Y RESTAURANTES,Categoria 3,200
sale_note_activity011,HOTELES Y RESTAURANTES,Categoria 4,200
sale_note_activity012,HOTELES Y RESTAURANTES,Categoria 5,200
sale_note_activity013,HOTELES Y RESTAURANTES,Categoria 6,250
sale_note_activity014,HOTELES Y RESTAURANTES,Categoria 7,250
sale_note_activity015,SERVICIO,Categoria 1,250
sale_note_activity016,SERVICIO,Categoria 2,250
sale_note_activity017,SERVICIO,Categoria 3,350
sale_note_activity018,SERVICIO,Categoria 4,350
sale_note_activity019,SERVICIO,Categoria 5,350
sale_note_activity020,SERVICIO,Categoria 6,500
sale_note_activity021,SERVICIO,Categoria 7,500
sale_note_activity022,MANUFACTURA,Categoria 1,250
sale_note_activity023,MANUFACTURA,Categoria 2,250
sale_note_activity024,MANUFACTURA,Categoria 3,350
sale_note_activity025,MANUFACTURA,Categoria 4,350
sale_note_activity026,MANUFACTURA,Categoria 5,350
sale_note_activity027,MANUFACTURA,Categoria 6,500
sale_note_activity028,MANUFACTURA,Categoria 7,500
sale_note_activity029,TRANSPORTE,Categoria 1,500
sale_note_activity030,TRANSPORTE,Categoria 2,500
sale_note_activity031,TRANSPORTE,Categoria 3,1500
sale_note_activity032,TRANSPORTE,Categoria 4,1500
sale_note_activity033,TRANSPORTE,Categoria 5,1500
sale_note_activity034,TRANSPORTE,Categoria 6,2500
sale_note_activity035,TRANSPORTE,Categoria 7,2500
sale_note_activity036,CONSTRUCCIÓN,Categoria 1,600
sale_note_activity037,CONSTRUCCIÓN,Categoria 2,600
sale_note_activity038,CONSTRUCCIÓN,Categoria 3,800
sale_note_activity039,CONSTRUCCIÓN,Categoria 4,800
sale_note_activity040,CONSTRUCCIÓN,Categoria 5,800
sale_note_activity041,CONSTRUCCIÓN,Categoria 6,1200
sale_note_activity042,CONSTRUCCIÓN,Categoria 7,1200
sale_note_activity043,AGRÍCOLAS,Categoria 1,500
sale_note_activity044,AGRÍCOLAS,Categoria 2,500
sale_note_activity045,AGRÍCOLAS,Categoria 3,700
sale_note_activity046,AGRÍCOLAS,Categoria 4,700
sale_note_activity047,AGRÍCOLAS,Categoria 5,700
sale_note_activity048,AGRÍCOLAS,Categoria 6,1100
sale_note_activity049,AGRÍCOLAS,Categoria 7,1100
sale_note_activity050,MINAS Y CANTERAS,Categoria 1,400
sale_note_activity051,MINAS Y CANTERAS,Categoria 2,400
sale_note_activity052,MINAS Y CANTERAS,Categoria 3,800
sale_note_activity053,MINAS Y CANTERAS,Categoria 4,800
sale_note_activity054,MINAS Y CANTERAS,Categoria 5,800
sale_note_activity055,MINAS Y CANTERAS,Categoria 6,1200
sale_note_activity056,MINAS Y CANTERAS,Categoria 7,1200
